id_cust,nama_cust,layanan,id_pegawai,nama_pegawai
CUST00001,Budi Wijaya,Facial,PGW011,Lani
CUST00002,Dewi Pratama,Manicure,PGW001,Rina
CUST00003,Kiki Yulianto,Manicure,PGW024,Putri
CUST00004,Fajar Wijaya,Smoothing,PGW007,Danu
CUST00005,Gita Dewi,Smoothing,PGW021,Ardi
CUST00006,Kiki Santoso,Potong Rambut,PGW020,Yani
CUST00007,Kiki Santoso,Cuci Blow,PGW018,Meta
CUST00008,Eka Wijaya,Pedicure,PGW023,Raka
CUST00009,Fajar Yulianto,Pedicure,PGW019,Luthfi
CUST00010,Gita Zulkarnain,Potong Rambut,PGW022,Nino
CUST00011,Budi Pratama,Creambath,PGW004,Tia
CUST00012,Dewi Santoso,Facial,PGW027,Rico
CUST00013,Kiki Nugroho,Eyelash Extension,PGW030,Maya
CUST00014,Oscar Saputra,Facial,PGW030,Maya
CUST00015,Gita Nugroho,Eyelash Extension,PGW009,Reza
CUST00016,Intan Rahmawati,Pedicure,PGW003,Andi
CUST00017,Hari Putri,Facial,PGW015,Bayu
CUST00018,Citra Pratama,Facial,PGW028,Vina
CUST00019,Citra Zulkarnain,Hair Spa,PGW018,Meta
CUST00020,Budi Dewi,Potong Rambut,PGW006,Nita
CUST00021,Joko Rahmawati,Hair Coloring,PGW030,Maya
CUST00022,Intan Yulianto,Facial,PGW001,Rina
CUST00023,Ayu Zulkarnain,Potong Rambut,PGW026,Tari
CUST00024,Hari Lestari,Manicure,PGW020,Yani
CUST00025,Joko Dewi,Hair Coloring,PGW023,Raka
CUST00026,Eka Santoso,Manicure,PGW002,Sari
CUST00027,Gita Pratama,Potong Rambut,PGW016,Ika
CUST00028,Fajar Rahmawati,Eyelash Extension,PGW018,Meta
CUST00029,Eka Lestari,Facial,PGW006,Nita
CUST00030,Intan Santoso,Cuci Blow,PGW001,Rina
CUST00031,Lia Yulianto,Cuci Blow,PGW004,Tia
CUST00032,Oscar Putri,Facial,PGW009,Reza
CUST00033,Oscar Nugroho,Hair Spa,PGW027,Rico
CUST00034,Fajar Rahmawati,Facial,PGW005,Dika
CUST00035,Kiki Pratama,Smoothing,PGW014,Fani
CUST00036,Kiki Zulkarnain,Creambath,PGW023,Raka
CUST00037,Eka Santoso,Smoothing,PGW011,Lani
CUST00038,Oscar Nugroho,Potong Rambut,PGW015,Bayu
CUST00039,Citra Sari,Hair Coloring,PGW029,Adit
CUST00040,Lia Yulianto,Manicure,PGW026,Tari
CUST00041,Budi Yulianto,Eyelash Extension,PGW024,Putri
CUST00042,Citra Saputra,Hair Coloring,PGW017,Gilang
CUST00043,Ayu Lestari,Cuci Blow,PGW029,Adit
CUST00044,Ayu Zulkarnain,Facial,PGW010,Sinta
CUST00045,Ayu Sari,Facial,PGW028,Vina
CUST00046,Fajar Putri,Manicure,PGW026,Tari
CUST00047,Budi Putri,Facial,PGW009,Reza
CUST00048,Mira Nugroho,Hair Coloring,PGW013,Winda
